2025-01-21 14:22:18,294 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.004 cores, Memory: 19.0 MiB
2025-01-21 14:22:18,295 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:22:18,295 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.006 cores, Memory: 1649.0 MiB
2025-01-21 14:22:23,393 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 79.0 MiB
2025-01-21 14:22:23,393 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 398.0 MiB
2025-01-21 14:22:23,393 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.004 cores, Memory: 19.0 MiB
2025-01-21 14:22:23,394 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:22:23,394 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.006 cores, Memory: 1649.0 MiB
2025-01-21 14:22:28,484 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 79.0 MiB
2025-01-21 14:22:28,484 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 398.0 MiB
2025-01-21 14:22:28,485 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.004 cores, Memory: 19.0 MiB
2025-01-21 14:22:28,485 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:22:28,485 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.006 cores, Memory: 1649.0 MiB
2025-01-21 14:22:33,564 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 79.0 MiB
2025-01-21 14:22:33,565 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 398.0 MiB
2025-01-21 14:22:33,565 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.004 cores, Memory: 19.0 MiB
2025-01-21 14:22:33,566 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:22:33,566 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.006 cores, Memory: 1649.0 MiB
2025-01-21 14:22:38,634 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:22:38,634 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:22:38,634 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:22:38,634 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:22:38,634 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:22:38,635 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:22:43,741 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:22:43,741 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:22:43,742 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:22:43,742 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:22:43,743 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:22:43,743 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:22:48,820 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:22:48,821 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:22:48,821 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:22:48,821 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:22:48,821 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:22:48,821 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:22:53,915 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
